,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
1,AS,JVD2ZU,SARSCOV2N1,36.04438782,15811.36068,15811360.68,AS-20-05-11,5/11/2020,7.278,1,"This sample was diluted differently than the rest, that is why the Ct values give different copiesperml"
2,AS,JVD2ZU,SARSCOV2N1,35.56849289,21944.8907,21944890.7,AS-20-05-11,5/11/2020,7.278,2,
3,AS,JVD2ZU,SARSCOV2N1,37.15451813,1545.984404,1545984.404,AS-20-05-18,5/18/2020,11.601,1,
4,AS,JVD2ZU,SARSCOV2N1,37.98691177,745.1568331,745156.8331,AS-20-05-18,5/18/2020,11.601,2,
5,AS,JVD2ZU,SARSCOV2N1,39.10514069,279.5441236,279544.1236,AS-20-05-18,5/18/2020,11.601,3,
6,AS,JVD2ZU,SARSCOV2N1,37.1,4073.211466,4073211.466,AS-20-05-25,5/25/2020,9.264,1,
7,AS,JVD2ZU,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-05-25,5/25/2020,9.264,2,
8,AS,JVD2ZU,SARSCOV2N1,36.8,5000.173364,5000173.364,AS-20-05-25,5/25/2020,9.264,3,
9,AS,JVD2ZU,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-06-01,6/1/2020,11.189,1,
10,AS,JVD2ZU,SARSCOV2N1,39.1,321.4285714,321428.5714,AS-20-06-01,6/1/2020,11.189,2,
11,AS,JVD2ZU,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-06-01,6/1/2020,11.189,3,
12,AS,JVD2ZU,SARSCOV2N1,34.2,16464.28571,16464285.71,AS-20-06-08,6/8/2020,7.581,1,
13,AS,JVD2ZU,SARSCOV2N1,36.4,3071.428571,3071428.571,AS-20-06-08,6/8/2020,7.581,2,
14,AS,JVD2ZU,SARSCOV2N1,35.9,3821.428571,3821428.571,AS-20-06-15,6/15/2020,8.235,1,
15,AS,JVD2ZU,SARSCOV2N1,38.8,321.4285714,321428.5714,AS-20-06-15,6/15/2020,8.235,2,
16,AS,JVD2ZU,SARSCOV2N1,38.3,1066.666667,1066666.667,AS-20-06-22,6/22/2020,33.848,1,
17,AS,JVD2ZU,SARSCOV2N1,Undetermined,666.6666667,666666.6667,AS-20-06-22,6/22/2020,33.848,2,
18,AS,JVD2ZU,SARSCOV2N1,34.3317,11577.86737,11577867.37,AS-20-06-29,6/29/2020,10.122,1,
19,AS,JVD2ZU,SARSCOV2N1,37.6428,800.6955093,800695.5093,AS-20-06-29,6/29/2020,10.122,2,
20,AS,JVD2ZU,SARSCOV2N1,36.7612,1630.674135,1630674.135,AS-20-06-29,6/29/2020,10.122,3,
21,AS,JVD2ZU,SARSCOV2N1,36,61333.33333,61333333.33,AS-20-07-06,7/6/2020,9.98,1,We switched methods from PEG based to HA based capture here
22,AS,JVD2ZU,SARSCOV2N1,35.8,67000,67000000,AS-20-07-06,7/6/2020,9.98,2,
23,AS,JVD2ZU,SARSCOV2N1,37,27666.66667,27666666.67,AS-20-07-06,7/6/2020,9.98,3,
24,AS,JVD2ZU,SARSCOV2N1,35.3,99333.33333,99333333.33,AS-20-07-13,7/13/2020,8.256,1,
25,AS,JVD2ZU,SARSCOV2N1,35.1,113333.3333,113333333.3,AS-20-07-13,7/13/2020,8.256,2,
26,AS,JVD2ZU,SARSCOV2N1,37,29000,29000000,AS-20-07-13,7/13/2020,8.256,3,
27,AS,JVD2ZU,SARSCOV2N1,37.9,14666.66667,14666666.67,AS-20-07-20,7/20/2020,9.586,1,
28,AS,JVD2ZU,SARSCOV2N1,36.2,52333.33333,52333333.33,AS-20-07-20,7/20/2020,9.586,2,
29,AS,JVD2ZU,SARSCOV2N1,35.9,66666.66667,66666666.67,AS-20-07-20,7/20/2020,9.586,3,
30,AS,JVD2ZU,SARSCOV2N1,,13666.66667,13666666.67,AS-20-07-27,7/27/2020,11.702,1,"I was not sent the Ct values this week, only the copiesperL"
31,AS,JVD2ZU,SARSCOV2N1,,64333.33333,64333333.33,AS-20-07-27,7/27/2020,11.702,2,
32,AS,JVD2ZU,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-07-27,7/27/2020,11.702,3,
33,AS,JVD2ZU,SARSCOV2N1,39.4,5000,5000000,AS-20-08-03,8/3/2020,10.01,1,
34,AS,JVD2ZU,SARSCOV2N1,39.4,5000,5000000,AS-20-08-03,8/3/2020,10.01,2,
35,AS,JVD2ZU,SARSCOV2N1,38.1,13000,13000000,AS-20-08-03,8/3/2020,10.01,3,
36,AS,JVD2ZU,SARSCOV2N1,35.7,77000,77000000,AS-20-08-10,8/10/2020,11.716,1,
37,AS,JVD2ZU,SARSCOV2N1,35.8,70000,70000000,AS-20-08-10,8/10/2020,11.716,2,
38,AS,JVD2ZU,SARSCOV2N1,35.7,77000,77000000,AS-20-08-10,8/10/2020,11.716,3,
39,AS,JVD2ZU,SARSCOV2N1,,10000,10000000,AS-20-08-17,8/17/2020,18.908,1,"I was not sent the Ct values this week, only the copiesperL"
40,AS,JVD2ZU,SARSCOV2N1,,6666.666667,6666666.667,AS-20-08-17,8/17/2020,18.908,2,
41,AS,JVD2ZU,SARSCOV2N1,,3333.333333,3333333.333,AS-20-08-17,8/17/2020,18.908,3,
42,AS,JVD2ZU,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-08-24,8/24/2020,10.546,1,
43,AS,JVD2ZU,SARSCOV2N1,39,6666.666667,6666666.667,AS-20-08-24,8/24/2020,10.546,2,
44,AS,JVD2ZU,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-08-24,8/24/2020,10.546,3,
45,AS,JVD2ZU,SARSCOV2N1,36.4,45333.33333,45333333.33,AS-20-08-31,8/31/2020,9.335,1,
46,AS,JVD2ZU,SARSCOV2N1,37.7,17000,17000000,AS-20-08-31,8/31/2020,9.335,2,
47,AS,JVD2ZU,SARSCOV2N1,38,14000,14000000,AS-20-08-31,8/31/2020,9.335,3,
48,AS,JVD2ZU,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-09-07,9/7/2020,12.074,1,"I was not sent the Ct values this week, only the copiesperL"
49,AS,JVD2ZU,SARSCOV2N1,,25333.33333,25333333.33,AS-20-09-07,9/7/2020,12.074,2,
50,AS,JVD2ZU,SARSCOV2N1,,5000,5000000,AS-20-09-07,9/7/2020,12.074,3,
51,AS,JVD2ZU,SARSCOV2N1,,6000,6000000,AS-20-09-14,9/14/2020,9.664,1,"I was not sent the Ct values this week, only the copiesperL"
52,AS,JVD2ZU,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-09-14,9/14/2020,9.664,2,
53,AS,JVD2ZU,SARSCOV2N1,,7000,7000000,AS-20-09-14,9/14/2020,9.664,3,
54,AS,JVD2ZU,SARSCOV2N1,37,29000,29000000,AS-20-09-28,9/28/2020,10.179,1,We did not receive samples for 9/21/2020
55,AS,JVD2ZU,SARSCOV2N1,35.6,80000,80000000,AS-20-09-28,9/28/2020,10.179,2,
56,AS,JVD2ZU,SARSCOV2N1,36.5,40333.33333,40333333.33,AS-20-09-28,9/28/2020,10.179,3,
57,AS,JVD2ZU,SARSCOV2N1,38.8,7333.333333,7333333.333,AS-20-10-05,10/5/2020,9.688,1,
58,AS,JVD2ZU,SARSCOV2N1,38.5,9666.666667,9666666.667,AS-20-10-05,10/5/2020,9.688,2,
59,AS,JVD2ZU,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-10-05,10/5/2020,9.688,3,
60,AS,JVD2ZU,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-10-12,10/12/2020,9.85,1,
61,AS,JVD2ZU,SARSCOV2N1,39,6333.333333,6333333.333,AS-20-10-12,10/12/2020,9.85,2,
62,AS,JVD2ZU,SARSCOV2N1,38.1,13000,13000000,AS-20-10-12,10/12/2020,9.85,3,
63,AS,JVD2ZU,SARSCOV2N1,38.1,12333.33333,12333333.33,AS-20-10-19,10/19/2020,10.459,1,
